original_address,lat,lon,formatted,name,housenumber,suburb,street,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"348 AUSTIN ST, SAN FRANCISCO, CA 94109",37.78872424489796,-122.42451236734694,"348 Austin Street, San Francisco, CA 94109, United States of America",,348,,Austin Street,,94109,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1150 PIERCE ST, SAN FRANCISCO, CA 94115",37.78056351020408,-122.43541993877551,"1150 Pierce Street, San Francisco, CA 94115, United States of America",,1150,,Pierce Street,,94115,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"927 FULTON ST, SAN FRANCISCO, CA 94117",37.77755363265306,-122.43206671428571,"927 Fulton Street, San Francisco, CA 94117, United States of America",,927,,Fulton Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"861 FELL ST, SAN FRANCISCO, CA 94117",37.77469730612245,-122.43196328571429,"861 Fell Street, San Francisco, CA 94117, United States of America",,861,,Fell Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"333 WEBSTER ST, SAN FRANCISCO, CA 94117",37.773581981210285,-122.42916237973276,"333 Webster Street, San Francisco, CA 94117, United States of America",,333,,Webster Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"425 FILLMORE ST, SAN FRANCISCO, CA 94117",37.7733162244898,-122.43079251020409,"425 Fillmore Street, San Francisco, CA 94117, United States of America",,425,,Fillmore Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"140 PAGE ST, SAN FRANCISCO, CA 94102",37.774282799999995,-122.42310892971977,"140 Page Street, San Francisco, CA 94102, United States of America",,140,,Page Street,,94102,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"48 HAIGHT ST, SAN FRANCISCO, CA 94102",37.773258999999996,-122.423050914203,"48 Haight Street, San Francisco, CA 94103, United States of America",,48,,Haight Street,,94103,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2477 CHESTNUT ST, SAN FRANCISCO, CA 94123",37.79974206122449,-122.44404002040815,"2477 Chestnut Street, San Francisco, CA 94123, United States of America",,2477,,Chestnut Street,,94123,Marina District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2863 UNION ST, SAN FRANCISCO, CA 94123",37.795632999999995,-122.44627708163266,"2863 Union Street, San Francisco, CA 94123, United States of America",,2863,,Union Street,,94123,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2415 TURK BLVD, SAN FRANCISCO, CA 94118",37.77838957142857,-122.448217,"2415 Turk Boulevard, San Francisco, CA 94118, United States of America",,2415,,Turk Boulevard,,94118,Anza Vista,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1656 FULTON ST, SAN FRANCISCO, CA 94117",37.77619085714286,-122.44406828571428,"1656 Fulton Street, San Francisco, CA 94117, United States of America",,1656,,Fulton Street,,94117,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
