original_address,lat,lon,formatted,name,housenumber,suburb,street,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"242 RIPLEY ST, SAN FRANCISCO, CA 94110",37.744288,-122.40963071428571,"242 Ripley Street, San Francisco, CA 94110, United States of America",,242,,Ripley Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"63 WINFIELD ST, SAN FRANCISCO, CA 94110",37.7441667755102,-122.41734467346939,"63 Winfield Street, San Francisco, CA 94110, United States of America",,63,,Winfield Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"29 MAYNARD ST, SAN FRANCISCO, CA 94112",37.72935165,-122.42991700529316,"29 Maynard Street, San Francisco, CA 94112, United States of America",,29,,Maynard Street,,94112,St. Mary's Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"360 COLERIDGE ST, SAN FRANCISCO, CA 94110",37.7412315,-122.42155581613483,"360 Coleridge Street, San Francisco, CA 94114, United States of America",,360,,Coleridge Street,,94114,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"145 BARTLETT ST, SAN FRANCISCO, CA 94110",37.75464287755102,-122.41968463265306,"145 Bartlett Street, San Francisco, CA 94110, United States of America",,145,,Bartlett Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"431 CONNECTICUT ST, SAN FRANCISCO, CA 94107",37.76081,-122.3972263877551,"431 Connecticut Street, San Francisco, CA 94107, United States of America",,431,,Connecticut Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"325 CRESCENT AVE, SAN FRANCISCO, CA 94110",37.73504278947368,-122.41826457894737,"325 Crescent Avenue, San Francisco, CA 94110, United States of America",,325,,Crescent Avenue,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3350 ARMY ST, SAN FRANCISCO, CA 94110",37.7483393,-122.4171,"3350 Cesar Chavez Street, San Francisco, CA 90103, United States of America",,3350,,Cesar Chavez Street,,90103,,San Francisco,California,CA,United States,us,0.3969,1,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"80 28TH ST, SAN FRANCISCO, CA 94110",37.7455535625,-122.42396975,"80 28th Street, San Francisco, CA 94110, United States of America",,80,,28th Street,,94110,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"454 30TH ST, SAN FRANCISCO, CA 94131",37.741963,-122.43011,"454 30th Street, San Francisco, CA 94131, United States of America",,454,,30th Street,,94131,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"467 CHENERY ST, SAN FRANCISCO, CA 94131",37.73579410204081,-122.429724,"467 Chenery Street, San Francisco, CA 94131, United States of America",,467,,Chenery Street,,94131,Glen Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"445 DUNCAN ST, SAN FRANCISCO, CA 94131",37.74581781632653,-122.4301156122449,"445 Duncan Street, San Francisco, CA 94131, United States of America",,445,,Duncan Street,,94131,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"274 VICTORIA ST, SAN FRANCISCO, CA 94132",37.715607081632655,-122.46521159183673,"274 Victoria Street, San Francisco, CA 94132, United States of America",,274,,Victoria Street,,94132,Ocean View,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3830 24TH ST, SAN FRANCISCO, CA 94114",37.7517434,-122.4281646,"3830 24th Street, San Francisco, CA 94114, United States of America",,3830,,24th Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2265 MISSION ST, SAN FRANCISCO, CA 94110",37.76083410204082,-122.41915910204081,"2265 Mission Street, San Francisco, CA 94110, United States of America",,2265,,Mission Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"251 SAN CARLOS ST, SAN FRANCISCO, CA 94110",37.759378653061226,-122.41980334693878,"251 San Carlos Street, San Francisco, CA 94110, United States of America",,251,,San Carlos Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"869 SHOTWELL ST, SAN FRANCISCO, CA 94110",37.75457748979591,-122.41526779591837,"869 Shotwell Street, San Francisco, CA 94110, United States of America",,869,,Shotwell Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"544 28TH ST, SAN FRANCISCO, CA 94131",37.745035650000005,-122.43446934934298,"544 28th Street, San Francisco, CA 94131, United States of America",,544,,28th Street,,94131,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"324 PENNSYLVANIA AVE, SAN FRANCISCO, CA 94107",37.762373775510206,-122.39367926530612,"324 Pennsylvania Avenue, San Francisco, CA 94107, United States of America",,324,,Pennsylvania Avenue,,94107,Dogpatch,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2112 22ND ST, SAN FRANCISCO, CA 94107",37.75719059183674,-122.40207581632653,"2112 22nd Street, San Francisco, CA 94107, United States of America",,2112,,22nd Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1081 HAMPSHIRE ST, SAN FRANCISCO, CA 94110",37.75488424489796,-122.40738087755102,"1081 Hampshire Street, San Francisco, CA 94110, United States of America",,1081,,Hampshire Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1221 FLORIDA ST, SAN FRANCISCO, CA 94110",37.752346897959185,-122.40992467346939,"1221 Florida Street, San Francisco, CA 94110, United States of America",,1221,,Florida Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2743 BRYANT ST, SAN FRANCISCO, CA 94110",37.75050371428571,-122.40880728571429,"2743 Bryant Street, San Francisco, CA 94110, United States of America",,2743,,Bryant Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1551 OAKDALE AVE, SAN FRANCISCO, CA 94124",37.734008897959185,-122.38949042857143,"1551 Oakdale Avenue, San Francisco, CA 94124, United States of America",,1551,,Oakdale Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"16 BESSIE ST, SAN FRANCISCO, CA 94110",37.74664507597518,-122.4147769959463,"16 Bessie Street, San Francisco, CA 94110, United States of America",,16,,Bessie Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"284 BONVIEW ST, SAN FRANCISCO, CA 94110",37.73982814285714,-122.41908957142857,"284 Bonview Street, San Francisco, CA 94110, United States of America",,284,,Bonview Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"819 CRESCENT AVE, SAN FRANCISCO, CA 94110",37.73483424489796,-122.41409351020408,"819 Crescent Avenue, San Francisco, CA 94110, United States of America",,819,,Crescent Avenue,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"212 GIRARD ST, SAN FRANCISCO, CA 94134",37.72951546938775,-122.40558989795917,"212 Girard Street, San Francisco, CA 94134, United States of America",,212,,Girard Street,,94134,Portola,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"526 VISITACION AVE, SAN FRANCISCO, CA 94134",37.71060391836735,-122.40461069387756,"526 Visitacion Avenue, San Francisco, CA 94134, United States of America",,526,,Visitacion Avenue,,94134,Visitacion Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"770 DELTA ST, SAN FRANCISCO, CA 94134",37.710885142857144,-122.410313,"770 Delta Street, San Francisco, CA 94134, United States of America",,770,,Delta Street,,94134,Visitacion Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4215 25TH ST, SAN FRANCISCO, CA 94114",37.74958842857143,-122.4343472857143,"4215 25th Street, San Francisco, CA 94114, United States of America",,4215,,25th Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1643 CASTRO ST, SAN FRANCISCO, CA 94114",37.7483115,-122.4335725905006,"1643 Castro Street, San Francisco, CA 94114, United States of America",,1643,,Castro Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3648 MISSION ST, SAN FRANCISCO, CA 94110",37.738140679010556,-122.42409763361222,"3648 Mission Street, San Francisco, CA 94110, United States of America",,3648,,Mission Street,,94110,St. Mary's Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"200 BOSWORTH ST, SAN FRANCISCO, CA 94112",37.73354,-122.428727,"200 Bosworth Street, San Francisco, CA 94112, United States of America",,200,,Bosworth Street,,94112,St. Mary's Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"68 MONTEREY BLVD, SAN FRANCISCO, CA 94131",37.73145130104085,-122.4371760117439,"68 Monterey Boulevard, San Francisco, CA 94131, United States of America",,68,,Monterey Boulevard,,94131,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"160 BRANNAN ST, SAN FRANCISCO, CA 94107",37.78397305086576,-122.38953075475288,"160 Brannan Street, San Francisco, CA 94107, United States of America",,160,Port of San Francisco,Brannan Street,,94107,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"500-502 35TH AVE, SAN FRANCISCO, CA 94121",37.779439,-122.495329,"500 35th Avenue, San Francisco, CA 94121, United States of America",,500,,35th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3718-3720 ANZA ST, SAN FRANCISCO, CA 94121",37.7778316,-122.492113,"Anza Street, San Francisco, CA 94121, United States of America",Anza Street,,,Anza Street,,94121,,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"6421-6423 GEARY BLVD, SAN FRANCISCO, CA 94121",37.7795084,-122.4965314,"Geary Boulevard, San Francisco, CA 94121, United States of America",Geary Boulevard,,,Geary Boulevard,,94121,,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"527 24TH AVE, SAN FRANCISCO, CA 94121",37.7795201,-122.48390969931737,"527 24th Avenue, San Francisco, CA 94121, United States of America",,527,,24th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3116-3118 ANZA ST, SAN FRANCISCO, CA 94121",37.7778316,-122.492113,"Anza Street, San Francisco, CA 94121, United States of America",Anza Street,,,Anza Street,,94121,,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"490-496 23RD AVE, SAN FRANCISCO, CA 94121",37.77852275510204,-122.48236755102042,"490 23rd Avenue, San Francisco, CA 94121, United States of America",,490,,23rd Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"419 19TH AVE, SAN FRANCISCO, CA 94121",37.7799019,-122.47858258871636,"419 19th Avenue, San Francisco, CA 94121, United States of America",,419,,19th Avenue,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"451 19TH AVE, SAN FRANCISCO, CA 94121",37.7793488,-122.47857606911765,"451 19th Avenue, San Francisco, CA 94121, United States of America",,451,,19th Avenue,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"465 14TH AVE, SAN FRANCISCO, CA 94118",37.77943055,-122.4729448876777,"465 14th Avenue, San Francisco, CA 94118, United States of America",,465,,14th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"443-447 9TH AVE, SAN FRANCISCO, CA 94118",37.77998385714286,-122.46753,"443 9th Avenue, San Francisco, CA 94118, United States of America",,443,,9th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"459-461 9TH AVE, SAN FRANCISCO, CA 94118",37.77972132653061,-122.46751171428572,"459 9th Avenue, San Francisco, CA 94118, United States of America",,459,,9th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1814-1816 ANZA ST, SAN FRANCISCO, CA 94118",37.7801218,-122.4548367,"Anza Street, San Francisco, CA 94118, United States of America",Anza Street,,,Anza Street,,94118,Jordan Park,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"466 10TH AVE, SAN FRANCISCO, CA 94118",37.779534850000005,-122.46826837997926,"466 10th Avenue, San Francisco, CA 94118, United States of America",,466,,10th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"415 3RD AVE, SAN FRANCISCO, CA 94118",37.7805478,-122.46130864819382,"415 3rd Avenue, San Francisco, CA 94118, United States of America",,415,,3rd Avenue,,94118,Jordan Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"561 ARGUELLO BLVD, SAN FRANCISCO, CA 94118",37.7800314,-122.45913756408638,"561 Arguello Boulevard, San Francisco, CA 94118, United States of America",,561,,Arguello Boulevard,,94118,Jordan Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"595 ARGUELLO BLVD, SAN FRANCISCO, CA 94118",37.779555200000004,-122.45897623663862,"595 Arguello Boulevard, San Francisco, CA 94118, United States of America",,595,,Arguello Boulevard,,94118,Jordan Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"530 6TH AVE, SAN FRANCISCO, CA 94118",37.77849725,-122.46383119350278,"530 6th Avenue, San Francisco, CA 94118, United States of America",,530,,6th Avenue,,94118,Jordan Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"510-512 6TH AVE, SAN FRANCISCO, CA 94118",37.778827899999996,-122.46387895000001,"510 6th Avenue, San Francisco, CA 94118, United States of America",,510,,6th Avenue,,94118,Jordan Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1525-1529 ANZA ST, SAN FRANCISCO, CA 94118",37.778824,-122.46466,"1527 Anza Street, San Francisco, CA 94118, United States of America",,1527,Lone Mountain,Anza Street,San Francisco County,94118,,San Francisco,California,CA,United States,us,0.7,1,1,© OpenAddresses contributors,BSD-3-Clause License,
"559-561 7TH AVE, SAN FRANCISCO, CA 94118",37.77796095918367,-122.46523161224489,"559 7th Avenue, San Francisco, CA 94118, United States of America",,559,,7th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"581 14TH AVE, SAN FRANCISCO, CA 94118",37.77725844897959,-122.47270667346939,"581 14th Avenue, San Francisco, CA 94118, United States of America",,581,,14th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"585-591 14TH AVE, SAN FRANCISCO, CA 94118",37.77719257142857,-122.47270185714285,"585 14th Avenue, San Francisco, CA 94118, United States of America",,585,,14th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2405 ANZA ST, SAN FRANCISCO, CA 94118",37.778562489795924,-122.47401614285715,"2405 Anza Street, San Francisco, CA 94118, United States of America",,2405,,Anza Street,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"595 22ND AVE, SAN FRANCISCO, CA 94121",37.7766352,-122.481409,"595 22nd Avenue, San Francisco, CA 94121, United States of America",,595,,22nd Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"535-537 23RD AVE, SAN FRANCISCO, CA 94121",37.777574,-122.48250740816326,"535 23rd Avenue, San Francisco, CA 94121, United States of America",,535,,23rd Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"547 23RD AVE, SAN FRANCISCO, CA 94121",37.777376000000004,-122.48249308163265,"547 23rd Avenue, San Francisco, CA 94121, United States of America",,547,,23rd Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"555 23RD AVE, SAN FRANCISCO, CA 94121",37.77721195,-122.48263971656469,"555 23rd Avenue, San Francisco, CA 94121, United States of America",,555,,23rd Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"600 24TH AVE, SAN FRANCISCO, CA 94121",37.7779892,-122.48335239943532,"600 24th Avenue, San Francisco, CA 94121, United States of America",,600,,24th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2326-2328 BALBOA ST, SAN FRANCISCO, CA 94121",37.7766886,-122.4760461,"Balboa Street, San Francisco, CA 94121, United States of America",Balboa Street,,,Balboa Street,,94121,Richmond District,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"615 25TH AVE, SAN FRANCISCO, CA 94121",37.777739249999996,-122.48483633291985,"615 25th Avenue, San Francisco, CA 94121, United States of America",,615,,25th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3633 ANZA ST, SAN FRANCISCO, CA 94121",37.77783925,-122.48735238863618,"3633 Anza Street, San Francisco, CA 94121, United States of America",,3633,,Anza Street,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"631-633 32ND AVE, SAN FRANCISCO, CA 94121",37.7772,-122.49215387755102,"631 32nd Avenue, San Francisco, CA 94121, United States of America",,631,,32nd Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3150 BALBOA ST, SAN FRANCISCO, CA 94121",37.77601714285714,-122.49251489795918,"3150 Balboa Street, San Francisco, CA 94121, United States of America",,3150,,Balboa Street,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4433 ANZA ST, SAN FRANCISCO, CA 94121",37.777446350000005,-122.49585036744426,"4433 Anza Street, San Francisco, CA 94121, United States of America",,4433,,Anza Street,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3712 BALBOA ST, SAN FRANCISCO, CA 94121",37.775830400000004,-122.4988127551581,"3712 Balboa Street, San Francisco, CA 94121, United States of America",,3712,,Balboa Street,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"479 BUENA VISTA AVE E, SAN FRANCISCO, CA 94117",37.7657263,-122.44212484918953,"479 Buena Vista Avenue East, San Francisco, CA 94117, United States of America",,479,,Buena Vista Avenue East,,94117,Haight-Ashbury,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"198 CASTRO ST, SAN FRANCISCO, CA 94114",37.765844,-122.435587,"198 Castro Street, San Francisco, CA 94114, United States of America",,198,,Castro Street,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"30-32 ROOSEVELT WAY, SAN FRANCISCO, CA 94114",37.7634504,-122.4432126,"Roosevelt Way, San Francisco, CA 94114, United States of America",Roosevelt Way,,,Roosevelt Way,,94114,Cole Valley,San Francisco,California,CA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"939 CLAYTON ST, SAN FRANCISCO, CA 94117",37.764548649999995,-122.44767022677007,"939 Clayton Street, San Francisco, CA 94117, United States of America",,939,,Clayton Street,,94117,Cole Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"226 PARNASSUS AVE, SAN FRANCISCO, CA 94117",37.76456,-122.4532892,"226 Parnassus Avenue, San Francisco, CA 94117, United States of America",,226,,Parnassus Avenue,,94117,Cole Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5700 CALIFORNIA ST, SAN FRANCISCO, CA 94121",37.78434545,-122.47885688572859,"5700 California Street, San Francisco, CA 94121, United States of America",,5700,,California Street,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"5818 CALIFORNIA ST, SAN FRANCISCO, CA 94121",37.78419375510204,-122.47995214285714,"5818 California Street, San Francisco, CA 94121, United States of America",,5818,,California Street,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3315 CLEMENT ST, SAN FRANCISCO, CA 94121",37.7813115,-122.4948790674692,"3315 Clement Street, San Francisco, CA 94121, United States of America",,3315,,Clement Street,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"491 20TH AVE, SAN FRANCISCO, CA 94121",37.778657918367344,-122.47936371428571,"491 20th Avenue, San Francisco, CA 94121, United States of America",,491,,20th Avenue,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"443 11TH AVE, SAN FRANCISCO, CA 94118",37.77988742857143,-122.46967042857143,"443 11th Avenue, San Francisco, CA 94118, United States of America",,443,,11th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"466 12TH AVE, SAN FRANCISCO, CA 94118",37.779449816326526,-122.47051448979592,"466 12th Avenue, San Francisco, CA 94118, United States of America",,466,,12th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"563 17TH AVE, SAN FRANCISCO, CA 94121",37.77744702040816,-122.4760471632653,"563 17th Avenue, San Francisco, CA 94121, United States of America",,563,,17th Avenue,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"33 BALBOA ST, SAN FRANCISCO, CA 94118",37.77736248680619,-122.4590117592881,"33 Balboa Street, San Francisco, CA 94118, United States of America",,33,,Balboa Street,,94118,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1370 10TH AVE, SAN FRANCISCO, CA 94122",37.7626757,-122.4671431,"1370 10th Avenue, San Francisco, CA 94122, United States of America",,1370,,10th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1318 27TH AVE, SAN FRANCISCO, CA 94122",37.76276855102041,-122.48556606122449,"1318 27th Avenue, San Francisco, CA 94122, United States of America",,1318,,27th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1578 9TH AVE, SAN FRANCISCO, CA 94122",37.7589006,-122.4658158,"1578 9th Avenue, San Francisco, CA 94122, United States of America",,1578,,9th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1649 12TH AVE, SAN FRANCISCO, CA 94122",37.7573673,-122.469349365243,"1649 12th Avenue, San Francisco, CA 94122, United States of America",,1649,,12th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1631 11TH AVE, SAN FRANCISCO, CA 94122",37.7577299,-122.4682533,"1631 11th Avenue, San Francisco, CA 94122, United States of America",,1631,,11th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1818 48TH AVE, SAN FRANCISCO, CA 94122",37.75245263265306,-122.50741324489796,"1818 48th Avenue, San Francisco, CA 94122, United States of America",,1818,,48th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2349 27TH AVE, SAN FRANCISCO, CA 94116",37.74357165,-122.4846366886093,"2349 27th Avenue, San Francisco, CA 94116, United States of America",,2349,,27th Avenue,,94116,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2222 VICENTE ST, SAN FRANCISCO, CA 94116",37.73873014285714,-122.49076832653061,"2222 Vicente Street, San Francisco, CA 94116, United States of America",,2222,,Vicente Street,,94116,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
